referenceID,reference_source,authors,year,title,source,vol,first_page,last_page,num_sites,num_manips,composition,analysis,result,other_general_results,main metrics,replicates
Hamel2003,"Google scholar: bird, experiment, communit*",Paul B. Hamel,2003,Winter bird community differences among methods of bottomland hardwood forest restoration: results after seven growing seasons,Forestry,76,189,197,4,3,N,N,N,"Sig diffs in S from Nurse crop, Differences in specific bird species and abundances, but did not do a specific composition analysis","S, relative abundance, focus on a few specific species",
Hansen2009,"Google scholar: carabid*, community, experiment","Allison K. Hansen, Yvette K. Ortega, Diana L. Six",2009,"Comparison of ground beetle (Coleoptera: Carabidae) assemblages in Rocky Mountain savannas invaded and un-invaded by an exotic forb, spotted knapweed",Northwest Science,83,348,360,2,1,,,,,,
Joern1986,"Google scholar: grasshopper, experiment, community",Anthony Joern,1986,Experimental study of avian predation on coexisting grasshopper populations (Orthoptera: Acrididae) in a sandhills grassland,Oikos,46,243,249,2,1,,,,,,
Jones2000,"Google scholar: lizard, burn, community","Bob Jones,  Stanley F. Fox, David M. Leslie Jr., David M. Engle, Robert L. Lochmiller",2000,Herpetofaunal responses to brush management with herbicide and fire,Journal of Range Management,53,154,158,3,2,N,N,N,"only compared diffs in broad taxa (snakes, turtles, frogs) not in species composition. (Sig diffs in taxa --> sig diffs in species…)","S, N, species presence",
Jung2008,"Google scholar: spider, community, experiment","Myung-Pyo Jung, Seung-Tae Kim, Hunsung Kim, Joon-Ho Lee",2008,Species diversity and community structure of ground-dwelling spiders in unpolluted and moderately heavy metal-polluted habitats,"Water, Air and Soil Pollution",195,15,22,6,1,,,,,,
Kutiel2000,"Google scholar: mammal, experiment*, communit*","Pua Kutiel, Yakim Peled, Eli Geffen",2000,The effect of removing shrub cover on annual plants and small mammals in a coastal sand dune ecosystem,Biological Conservation,94,235,242,2,1,Y,N,"No diffs in species presence, but diffs in evenness, and dominance",,"S, N, evenness, and species presence"
Langford2007,"Google scholar: lizard, burn, community","Gabriel J. Langford, Joel A. Borden, C. Smoot Major, David H. Nelson",2007,Effects of prescribed fire on the herpetofauna of a southern Mississippi pine savanna,Herpetological Conservation and Biology,2,135,143,2,1,,,,,
Legge2008,"Google scholar: Anderson et al. 2005, lizard, fire, australia","Sarah Legge, Stephen Murphy, Joanne Heathcote, Emma Flaxman, John Augusteyn, Marnie Crossman",2008,"The short-term effects of an extensive and high-intensity fire on vertebrates in the tropical savannas of the central Kimberley, northern Australia",Wildlife Research,35,33,43,6,1,,,,,
Lemieux2004,"Google scholar: carabid*, community, experiment","Jeffrey P. Lemieux, B. Staffan Lindgren",2004,Ground beetle responses to patch retention harvesting in high elevation forests of British Columbia,Ecography,27,557,566,5,4,,,,,
Magura2005,"Google scholar: carabid*, community, experiment","Tibor Magura, Bela Tothmeresz, Zoltan Elek",2005,Impacts of leaf-litter addition on carabids in a conifer plantation,Biodiversity and Conservation,14,475,491,4,1,,,,,
Matthews2010,"Google scholar: lizard, burn, community","Charlotte E. Matthews, Christopher E. Moorman, Cathryn H. Greenberg, Thomas A. Waldrop",2010,Response of reptiles and amphibians to repeated fuel reduction treatments,Journal of Wildlife Management,74,1301,1310,8,3,N,N,N,N,"S, N"
McLeod1998,"Google scholar: lizard, burn, community","Roderick F. McLeod, J. Edward Gates",1998,"Response of herpetofaunal communities to forest cutting and burning at Chesapeake Farms, Maryland",American Midland Naturalist,139,164,177,8,2,,,,,
Medin1989,"Google scholar: mammal, experiment*, communit*","Dean E. Medin, Warren P. Clary",1989,Small mammal populations in a grazed and ungrazed riparian habitat in Nevada,"United States Department of Agriculture, Forest Service, Intermountain Research Station, Research Paper",INT-413,1,6,2,1,,,,,
Mordkovich2006,"Google scholar: spider, community, experiment","V. G. Mordkovich, O. G. Berezina, I. I. Lyubechanskii, V. S. Andrievskii, I. I. Marchenko",2006,Transformation of soil organic matter in microarthropod community from the northern taiga of west Siberia,Biology Bulletin,33,81,86,2,1,,,,,
Mushinsky1985,"Google scholar: lizard, burn, community",Henry R. Mushinksy,1985,Fire and the Florida sandhill herpetofaunal community: with special attention to responses of Cnemidophorous sexlineatus,Herpetologica,41,332,342,4,3,,,,,
Nadeau2006,"Google scholar: grasshopper, experiment, community","Lucanus Nadeau, Paula E. Cushing, Boris C. Kondratieff",2006,"Effects of fire disturbance on grasshopper (Orthopera: Acrididae) assemblages of the Comanche National Grasslands, Colorado",Journal of the Kansas Entomological Society,79,2,12,4,2,,,,,
Neff2007,"Google scholar: butterfly, community data, experiment","Paula K. Kleintjes Neff, Stephen M. Fettig, Dustin R. VanOverbeke",2007,Variable response of butterflies and vegetation to elk herbivory: An exclosure experiment in ponderosa pine and aspen-mixed conifer forests,The Southwestern Naturalist,52,1,14,12,1,,,,,
Nitterus2006,"Google scholar: spider, community, experiment","Karolina Nitterus, Bengt Gunnarsson",2006,Effect of microhabitat complexity on the local distribution of arthropods in clear-cuts,Environmental Entomology,35,1324,1333,3,2,,,,,
Nunes2006,"Google scholar: carabid*, community, experiment","Luisa Nunes, Israel Silva, Marina Pite, Francisco Rego, Simon Leather, Artur Serrano",2006,Carabid (Coleoptera) community changes following prescribed burning and the potential use of Carabids as indicators species to evaluate the effects of fire management in Mediterranean regions,Silva Lusitana,14,85,100,13,3,,,,,
Parmenter1988,"Google scholar: carabid*, community, experiment","Robert R. Parmenter, James A. MacMahon",1988,Factors influencing species composition and population sizes in a ground beetle community (Carabidae): Predation by rodents,Oikos,52,350,356,2,1,,,,,
Pekar1998,"Google scholar: spider, community, experiment",Stanislav Pekar,1998,Effect of selective insecticides on the beneficial spider community of a pear orchard in the Czech Republic,"Proceedings of the 17th European Colloquium of Arachnology, Edinburgh 1997",NULL,337,342,9,4,,,,,
Phillips2006,"Google scholar: carabid*, community, experiment","Iain D. Phillips, Tyler P. Cobb, John R. Spence, R. Mark Brigham",2006,"Salvage logging, edge effects, and carabid beetles: Connections to conservation and sustainable forest management",Environmental Entomology,35,950,957,3,2,,,,,,
Purtauf2005,"Google scholar: carabid*, community, experiment","Tobias Purtauf, Indra Roschewitz, Jens Dauber, Carsten Thies, Teja Tscharntke, Volkmar Wolters",2005,Landscape context of organic and conventional farms: Influences on carabid beetle diversity,"Agriculture, Ecosystems & Environment",108,165,174,2,1,,,,,,
Ramirez1981,"Google scholar: mammal, experiment*, communit*","Pedro Ramirez, Jr., Maurice Hornocker",1981,Small mammal populations in different-aged clearcuts in northwestern Montana,Journal of Mammalogy,62,400,403,8,4,Y,N,"composition differences in clearcut forest, result from differences in vegetation cover and food availability",,,N
Rundlof2008,"Google scholar: butterfly, community data, experiment","Maj Rundlof, Janne Bengtsson, Henrik G. Smith",2008,Local and landscape effects of organic farming on butterfly species richness and abundance,Journal of Applied Ecology,45,813,820,2,1,,,,,,
Ruthven2008,"Google scholar: lizard, burn, community","Donald C. Ruthven III, Richard T. Kazmaier, Michael W. Janis",2008,Short-term responses of herpetofauna to various burning regimes in the south Texas plains,The Southwestern Naturalist,53,480,487,10,2,,,,,,
Schlesinger1997,"Google scholar: lizard, burn, community","Christine A. Schlesinger, James C. Noble, Tom Weir",1997,Fires studies in mallee (Eucalypt spp.) communities of western New South Wales: Reptile and beetle populations in sites of differing fire history,The Rangeland Journal,19,190,205,12,4,N,N,believe grazing impacts (diffs w/in sites) very minor compared to fire impacts on species composition,focused on S & N diffs,"S, N ",
Schmidt2005,"Google scholar: carabid*, community, experiment","Martin H. Schmidt, Indra Roschewitz, Carsten Thies, Teja Tscharntke",2005,Differential effects of landscape and management on diveristy and density of ground-dwelling farmland spiders,Journal of Applied Ecology,42,281,287,2,1,,,,,,
Skalski2010,"Google scholar: carabid*, community, experiment","Thomasz Skalski, David Stone, Paulina Kramarz, Ryszard Laskowski",2010,Ground beetle community responses to heavy metal contamination,Baltic Journal of Coleopterology,10,1,12,5,4,,,,,,
Smith2009,"Google scholar: lizard, burn, community","Walter H. Smith, Leslie J. Rissler",2009,Quantifying disturbance in terrestrial communities: Abundance-biomass comparisons of herpetofauna closely track forest succession,Restoration Ecology,18,195,204,4,3,,,,,,
Stevenson1982,"Google scholar: spider, community, experiment","Bruce G. Stevenson, Daniel L. Dindal",1982,Effect of leaf shape on forest litter spiders: community organization and microhabitat selection of immature Enoplognatha ovata (Clerck) (Theridiidae),Journal of Arachnology,10,165,178,4,2,,,,,,
Stork2003,"Google scholar: butterfly, burn*, community","N. E. Stork, D. S. Srivastava, A. D. Watt, T. B. Larsen",2003,Butterfly diversity and silvicultural practice in lowland rainforests of Cameroon,Biodiversity and Conservation,12,387,410,14,3,,,,,,
Styring2011,"Google scholar: bird, experiment, communit*","Alison R. Styring, Roslina Ragai, Joanes Unggang, Robert Stuebing, Peter A. Hosner, Frederick H. Sheldon",2011,Bird community assembly in Bornean industrial tree plantations: Effects of forest age and structure,Forest Ecology and Management,261,531,544,8,3,Y,NMS,"transects clump differently, with a lot of variation in the unlogged plots, but with the logged plots all clumping together in ordination space, separate from unlogged plots",,"S, ordination",
Vargas2000,"Google scholar: spider, community, experiment",Angel J. Vargas,2000,Effects of fertilizer addition and debris removal on leaf-litter spider communities at two elevations,Journal of Arachnology,28,79,89,5,2,,,,,,
Wilgers2006,"Google scholar: lizard, experiment, community","D. J. Wilgers, E. A. Horne",2006,"Effects of different burn regimes on tallgrass prairie herpetofaunal species diversity and community composition in the Flint Hills, Kansas",Journal of Herpetology,40,73,84,3,2,,,,,,
Wu2008,"Google scholar: bird, experiment, communit*","Joanna X. Wu, Frank Joyce, Federico Chinchilla",2008,"The impact of habitat fragmentation on bird community composition in Monteverde, Costa Rica",Berkeley Scientific Journal,13,54,61,3,2,Y,N,several unique species in each habitat/fragmentation,,"S, species presence",
Yu2006,"Google scholar: carabid*, community, experiment","Xiao-Dong Yu, Tian-Hong Luo, Hong-Zhang Zhou",2006,Distribution of carabid beetles among regenerating and natural forest types in Southwestern China,Forest Ecology and Management,231,169,177,4,3,,,,,,
